"ID";"DATE";"PRECIPITATION";"WINDSPEED";"SNOW";"PRESSURE";"TEMP_MAX";"TEMP_MIN";"TEMP_AVG";"TOTAL_SUNSHINE";"GUST";"WINDDIR";"LOCATION_ID"
173;"2015-06-22";12.4;9.0;0.0;1006.2;16.9;9.0;11.4;176;0.0;0;1
174;"2015-06-23";2.3;13.0;0.0;1009.5;15.5;8.1;11.6;151;0.0;0;1
175;"2015-06-24";0.0;13.0;0.0;1018.5;18.4;10.3;14.2;113;0.0;0;1
176;"2015-06-25";0.0;9.0;0.0;1019.9;23.1;11.1;17.5;296;0.0;0;1
177;"2015-06-26";0.4;4.0;0.0;1017.1;21.9;13.7;18.2;83;0.0;0;1
178;"2015-06-27";0.6;13.0;0.0;1014.5;21.5;10.4;17.6;449;0.0;0;1
179;"2015-06-28";0.9;7.0;0.0;1020.9;22.2;7.2;15.6;364;0.0;0;1
180;"2015-06-29";0.0;9.0;0.0;1019.4;24.5;10.8;18.3;655;0.0;0;1
181;"2015-06-30";0.0;7.0;0.0;1021.4;25.6;8.6;18.2;938;0.0;0;1
182;"2015-07-01";0.0;13.0;0.0;1018.8;29.5;13.2;22.8;934;0.0;0;1
183;"2015-07-02";11.9;14.0;0.0;1017.7;33.9;17.9;26.4;877;0.0;0;1
184;"2015-07-03";0.0;10.0;0.0;1022.5;28.5;18.7;23.4;709;0.0;0;1
185;"2015-07-04";0.1;9.0;0.0;1017.5;34.9;17.7;25.8;754;0.0;0;1
186;"2015-07-05";6.7;8.0;0.0;1015.2;25.5;15.9;20.6;168;0.0;0;1
187;"2015-07-06";0.0;12.0;0.0;1017.7;22.9;12.6;18.1;718;0.0;0;1
188;"2015-07-07";2.4;9.0;0.0;1008.3;27.1;11.6;20.2;424;0.0;0;1
189;"2015-07-08";5.5;17.0;0.0;1005.8;18.8;12.2;15.6;191;0.0;0;1
190;"2015-07-09";1.4;16.0;0.0;1017.2;16.7;8.9;12.7;378;0.0;0;1
191;"2015-07-10";0.0;9.0;0.0;1022.0;20.5;8.5;14.4;339;0.0;0;1
192;"2015-07-11";0.1;6.0;0.0;1015.0;26.8;9.9;18.7;593;0.0;0;1
193;"2015-07-12";6.0;11.0;0.0;1014.6;19.6;14.7;16.4;12;0.0;0;1
194;"2015-07-13";11.8;10.0;0.0;1012.9;18.7;14.8;16.5;24;0.0;0;1
195;"2015-07-14";1.3;10.0;0.0;1013.2;20.4;14.6;17.5;78;0.0;0;1
196;"2015-07-15";1.5;6.0;0.0;1017.2;21.3;11.9;17.3;285;0.0;0;1
197;"2015-07-16";0.9;9.0;0.0;1016.9;22.7;14.5;18.3;369;0.0;0;1
198;"2015-07-17";4.6;14.0;0.0;1011.2;28.5;14.0;21.2;728;0.0;0;1
199;"2015-07-18";1.6;13.0;0.0;1014.5;22.6;10.0;17.9;581;0.0;0;1
200;"2015-07-19";5.4;9.0;0.0;1009.6;18.0;10.9;14.8;79;0.0;0;1
201;"2015-07-20";0.2;8.0;0.0;1011.0;23.8;8.8;17.3;547;0.0;0;1
202;"2015-07-21";0.0;14.0;0.0;1010.8;24.1;14.3;20.8;684;0.0;0;1
203;"2015-07-22";0.0;10.0;0.0;1012.3;24.9;11.9;18.5;543;0.0;0;1
204;"2015-07-23";0.0;9.0;0.0;1014.7;20.7;10.4;16.1;354;0.0;0;1
205;"2015-07-24";11.8;8.0;0.0;1010.2;23.9;10.9;17.8;172;0.0;0;1
206;"2015-07-25";12.0;17.0;0.0;999.1;22.4;11.7;16.1;98;0.0;0;1
207;"2015-07-26";4.0;13.0;0.0;1009.0;20.9;10.1;14.8;418;0.0;0;1
208;"2015-07-27";15.9;16.0;0.0;997.8;18.2;12.3;15.1;28;0.0;0;1
209;"2015-07-28";2.9;20.0;0.0;1001.0;18.1;13.1;15.2;117;0.0;0;1
210;"2015-07-29";9.0;19.0;0.0;1004.1;16.6;10.1;13.0;174;0.0;0;1
211;"2015-07-30";0.2;18.0;0.0;1012.6;17.8;10.6;13.8;393;0.0;0;1
212;"2015-07-31";0.0;9.0;0.0;1019.1;18.4;7.4;13.1;454;0.0;0;1
213;"2015-08-01";0.0;6.0;0.0;1017.1;23.3;6.4;14.9;780;0.0;0;1
214;"2015-08-02";0.0;5.0;0.0;1019.9;24.2;7.1;16.6;832;0.0;0;1
215;"2015-08-03";0.2;10.0;0.0;1015.1;31.1;12.1;21.9;809;0.0;0;1
216;"2015-08-04";5.5;8.0;0.0;1011.8;23.1;10.8;17.6;81;0.0;0;1
217;"2015-08-05";0.0;8.0;0.0;1016.2;24.4;9.5;17.3;760;0.0;0;1
218;"2015-08-06";1.3;9.0;0.0;1012.9;31.4;12.2;21.8;802;0.0;0;1
219;"2015-08-07";1.3;6.0;0.0;1016.1;27.3;13.2;19.9;433;0.0;0;1
220;"2015-08-08";0.0;10.0;0.0;1020.8;22.4;9.0;17.6;329;0.0;0;1
221;"2015-08-09";0.0;4.0;0.0;1019.9;25.1;7.1;17.1;544;0.0;0;1
222;"2015-08-10";5.3;4.0;0.0;1016.3;22.5;15.3;18.3;31;0.0;0;1
223;"2015-08-11";0.0;7.0;0.0;1017.8;24.3;12.6;18.8;446;0.0;0;1
224;"2015-08-12";0.0;11.0;0.0;1021.9;23.1;15.4;18.5;180;0.0;0;1
225;"2015-08-13";2.5;14.0;0.0;1016.4;26.1;13.8;20.5;756;0.0;0;1
226;"2015-08-14";0.9;8.0;0.0;1007.0;27.2;16.6;21.5;272;0.0;0;1
227;"2015-08-15";7.7;8.0;0.0;1006.8;26.4;17.1;20.4;263;0.0;0;1
228;"2015-08-16";24.8;12.0;0.0;1011.4;18.0;16.3;16.8;0;0.0;0;1
229;"2015-08-17";14.3;7.0;0.0;1009.0;19.7;15.9;17.5;0;0.0;0;1
230;"2015-08-18";1.9;10.0;0.0;1012.0;16.7;13.2;15.0;0;0.0;0;1
231;"2015-08-19";0.0;5.0;0.0;1019.0;21.2;11.2;16.0;468;0.0;0;1
232;"2015-08-20";0.0;4.0;0.0;1022.4;23.3;10.3;16.9;497;0.0;0;1
233;"2015-08-21";0.0;6.0;0.0;1022.6;25.6;11.2;18.3;712;0.0;0;1
234;"2015-08-22";0.0;9.0;0.0;1019.2;26.1;10.8;18.9;753;0.0;0;1
235;"2015-08-23";1.1;14.0;0.0;1009.8;25.0;12.5;19.0;740;0.0;0;1
236;"2015-08-24";3.4;12.0;0.0;1001.2;24.2;13.9;18.7;197;0.0;0;1
237;"2015-08-25";2.4;19.0;0.0;1007.7;20.2;14.0;16.9;251;0.0;0;1
238;"2015-08-26";2.0;17.0;0.0;1009.4;25.8;14.3;20.1;369;0.0;0;1
239;"2015-08-27";3.3;13.0;0.0;1007.8;18.8;13.3;16.2;0;0.0;0;1
240;"2015-08-28";0.0;10.0;0.0;1015.7;20.8;10.3;15.2;241;0.0;0;1
241;"2015-08-29";1.3;6.0;0.0;1020.7;23.4;8.6;16.0;616;0.0;0;1
242;"2015-08-30";6.0;9.0;0.0;1016.5;24.4;12.7;18.5;314;0.0;0;1
243;"2015-08-31";0.6;9.0;0.0;1009.2;28.2;17.5;22.0;431;0.0;0;1
244;"2015-09-01";0.7;12.0;0.0;1009.9;20.0;11.5;16.1;47;0.0;0;1
245;"2015-09-02";0.0;11.0;0.0;1013.8;18.9;8.6;13.5;448;0.0;0;1
246;"2015-09-03";1.5;8.0;0.0;1012.1;18.7;7.6;12.5;385;0.0;0;1
247;"2015-09-04";5.1;16.0;0.0;1009.1;17.7;10.0;13.2;115;0.0;0;1
248;"2015-09-05";5.9;14.0;0.0;1011.5;16.3;9.8;12.5;214;0.0;0;1
249;"2015-09-06";7.1;14.0;0.0;1018.3;16.6;9.8;12.6;209;0.0;0;1
250;"2015-09-07";1.9;8.0;0.0;1022.7;18.4;10.0;13.8;203;0.0;0;1
251;"2015-09-08";0.0;6.0;0.0;1023.9;18.7;8.2;13.3;214;0.0;0;1
252;"2015-09-09";0.0;8.0;0.0;1024.2;18.9;6.0;12.2;602;0.0;0;1
253;"2015-09-10";0.0;8.0;0.0;1023.7;19.4;6.3;12.8;564;0.0;0;1
254;"2015-09-11";0.3;9.0;0.0;1018.5;18.8;8.5;13.1;452;0.0;0;1
255;"2015-09-12";4.0;9.0;0.0;1012.8;20.7;9.2;14.6;131;0.0;0;1
256;"2015-09-13";1.2;7.0;0.0;1007.4;20.3;14.5;16.8;39;0.0;0;1
257;"2015-09-14";11.4;8.0;0.0;999.6;19.7;11.6;15.5;102;0.0;0;1
258;"2015-09-15";2.7;15.0;0.0;1001.0;16.0;9.0;12.3;174;0.0;0;1
259;"2015-09-16";3.4;13.0;0.0;994.1;18.5;10.6;14.7;11;0.0;0;1
260;"2015-09-17";5.5;17.0;0.0;996.6;17.6;11.5;15.3;8;0.0;0;1
261;"2015-09-18";1.6;10.0;0.0;1012.1;19.1;10.3;13.8;387;0.0;0;1
262;"2015-09-19";1.7;5.0;0.0;1019.2;18.0;10.1;13.1;176;0.0;0;1
263;"2015-09-20";0.7;7.0;0.0;1020.8;16.6;9.4;12.9;224;0.0;0;1
264;"2015-09-21";0.9;7.0;0.0;1012.5;17.3;11.0;13.5;39;0.0;0;1
265;"2015-09-22";2.8;8.0;0.0;1000.3;15.8;10.4;12.8;20;0.0;0;1
266;"2015-09-23";1.4;4.0;0.0;1005.9;16.4;9.7;12.4;86;0.0;0;1
267;"2015-09-24";2.4;13.0;0.0;1013.9;16.5;10.0;12.6;31;0.0;0;1
268;"2015-09-25";0.1;8.0;0.0;1020.0;17.4;5.8;12.0;202;0.0;0;1
269;"2015-09-26";0.0;4.0;0.0;1026.7;17.0;4.2;9.7;311;0.0;0;1
270;"2015-09-27";0.0;4.0;0.0;1032.8;17.1;4.7;10.9;202;0.0;0;1
271;"2015-09-28";0.0;5.0;0.0;1036.7;16.8;5.5;11.3;155;0.0;0;1
272;"2015-09-29";0.0;8.0;0.0;1037.0;17.1;3.8;10.0;554;0.0;0;1
273;"2015-09-30";0.0;8.0;0.0;1035.4;17.4;4.7;10.7;627;0.0;0;1
